	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23
2-Aminobutyrate	0.580932944452018	0.36663538850722	0.200815872142071	0.480719124540067	0.124875658828803	1.40326213457705	0.0805662805700445	0.236299612315797	0.367608018406775	0.229222747666585	0.619655936027145	0.472535701491199	0.126746980404502	0.286894203110212	0.634361369962134	0.333865085230097	0.133152200582617	1.10522966656224	0.198312258884857	0.500273942656972	0.31685000288739	1.13530009873026	0.229879905510916	0.355126007154951	0.43600283424827	0.416258369509946	0.162712263072784	1.1064996161847	0.193970208520309	0.407599829386975	0.139519229655728	0.321323091690051	0.125093288773836	0.391674956602429	0.113636748884082	1.8491788426463	0.238225070734229	0.461718616931583	0.816350648887046	0.173666440517232	0.644864217667806	0.254950404140364	0.24560287844052	0.191246178574174
3-Phenylpropionate	0.258192419756452	0.687861806878225	1.03934536352044	2.20972535848253	1.23915076837812	1.15981891517934	0.45371536952604	1.03359830423025	1.3611739628932	1.23659640188552	1.03482541316533	0.146649010807614	0.791312229011891	1.58429354384195	0.277077379983461	0.111288361743366	0.802887580523489	2.58642634790378	1.09780000454117	2.696213248846	0.257776273535504	2.07910379526505	0.476478349604444	0.543133893295807	0.225349779499106	3.31498513109733	0.224542923040442	0.174137644514313	3.75817279008099	0.327535577185962	0.887496056196044	1.73870273307932	0.938199665803769	1.11675917378379	1.04302301654318	0.340638207855897	0.697483712252794	0.437933112422986	0.32038595311088	0.620237287561543	2.09777475686448	0.0756884012291707	0.500302159786245	1.035577711641
4-Aminobutyrate	0.496001227426869	3.57721775850852	0.0986409903467046	0.346196900388937	0	0.0554179686433814	0.0848066111263626	0.0390999358508154	0.125191585215929	0.138740084113986	0.249927894197615	0.251398304241623	0.0839270545921703	0	0	0	0	0.130360422209906	0.109780000454117	0.5634664406768	0.558515259326925	0.0752307294339326	0.148377029920682	0.109090995661978	0.860983124934083	0	0	0.397251501548278	0	1.85239565319616	0	0.576583801589731	0	0.236299767206424	0.119724431860015	0.441004822670581	0	0	0	0	0	0	0	0
Acetate	328.203332734623	129.413883074505	162.39496169778	197.069123577399	263.093801512468	155.62553122961	204.483580582607	130.614185708254	165.835602408941	93.3841409638527	98.1968761822216	222.971673765709	123.124414680779	238.417052068006	28.31220417731	31.5734356296073	143.391409611952	461.39465551937	112.165059496242	389.197329262619	198.882450541189	84.0163108003717	153.331986793104	179.020644966321	160.488234269363	240.217275587196	100.251906647034	197.638970788558	194.193043343193	181.718557864867	143.56781674084	180.042933857497	74.1867905854075	106.707148300819	158.421803310362	290.515728699958	166.988406799002	53.9273353102849	132.382751789364	125.151052134315	245.671640387549	68.9103057190952	316.115919660939	155.302069671302
Alanine	7.54193647183321	21.0714439569127	6.79807211918637	29.812498793493	5.22316457601243	13.4824000856684	5.77108988714897	4.83309207060296	7.47621384803128	16.6206599316841	21.9564753332285	6.07313125709625	6.39729691636237	7.84815031174824	11.9639096072858	8.16578354291944	10.2935519407613	28.2409795825169	8.39108745406552	20.7218733090019	10.934010269131	11.5321869064997	6.21093708344039	8.60890431723995	9.27730749840068	10.4667865376776	3.08177026259852	15.9716870827972	4.82847269066627	20.6966091939618	3.47838503824766	37.4539411973172	9.63218323558536	16.5183248226628	5.2841088231098	44.9429535489874	9.71074154312517	17.3312379028228	11.0198287149098	4.44175447864763	7.92317925975994	8.94318214523622	6.40841584671653	8.43924626303907
Arginine	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637542673578249	0.0699984959958216	0.0741922411622437	0.0887681337217443	0.449648992550109	0.242578388100227	0.189577494059484	0.408145766431214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73879742350344	0.458920322283513	0.362018026113989	0.16083394491251	0.184808647746262	0.398360006469319	0.454820145260222	0.907402081320015
Aspartate	0.489206690064857	3.75380819792713	0.923078445289549	6.57576283938758	3.46529953249928	1.68431040412563	1.94419156007186	2.1691964411148	1.72878198129997	11.6984030344227	11.9139181300152	1.23604166252131	4.7101918393565	3.23234135504172	1.16955820393019	0.392600609483539	6.63594914582179	5.89266894018399	6.21673518700655	30.2955367590059	13.0257573220909	3.72870851703455	2.77945703935926	8.13076080433851	11.459771123767	3.05859410639917	1.45464763187069	3.50633402964758	2.05516054265566	4.32710890304565	1.33140707789765	14.2627848516706	9.18141603983137	9.68505347235097	1.82630489277988	12.5306197889848	12.2722750356592	4.77389066960776	2.89252402865077	0.657023774961745	1.95032104855629	4.83111097845667	5.96041800363521	7.24294038004317
Butyrate	101.975813997756	39.3897588726037	25.3560063202149	37.1538513497407	50.2048177591338	48.2156119329077	32.5996613169738	29.0138523985159	40.00326389777	19.0254880563266	25.3005518679883	60.63820208791	46.2215407188634	73.5309842571473	10.9183070733483	2.41897619622732	22.2708057240622	160.369769258922	36.5903824094248	225.655144387304	29.8698256959265	32.5530205417848	35.1319190140365	29.4638531687905	31.8490272601861	94.3337988989425	12.0651143068469	58.9691738074564	59.4068401130682	73.8210601714294	16.167266134368	25.1950650547827	20.4958883313407	32.9298292026158	46.0999939490816	38.0876096158875	16.6143567372893	12.0228729554336	40.0066120658569	29.4189239236777	63.0020544364782	19.3453578141663	41.2021569591235	30.4874892120637
Caprate	1.24340033724818	0.61554381740203	0.644710666925035	0.724046088813434	0.878932521756575	0.724392018695629	0.775980491806218	0.622198979191236	0.833093094346003	0	0.755980241953117	0.851960919929945	0.626883713892537	1.25595906694915	0.587695705964919	0.386417922720019	0.462334029800752	2.08387747387719	0.442661292153699	1.31651037541308	0.671292378998708	0.500626308596715	0.764873140154503	0.84951711515498	0.896500209746442	2.05112819758524	0.595526882846388	0.66389976971082	0.845155908552775	0.665989006944789	1.08899773781002	0.653350600808514	0.789381787779723	1.18473581914454	1.76542806302055	2.01037370886382	0.898869854522967	0.41694590256246	1.13492651186736	0.925650682953917	1.28383028700328	0.728998811838855	1.93298561735595	0.620532813458755
Choline	0.152877090645268	0.0487725975537127	0.0369921397602288	0.0534132360600074	0.0288174597297238	0.0336466238191959	0.031802479172386	0.0169999721090502	0.0330050542841996	0.00804290342689772	0.0371793561616287	0.128026914197123	0.0342559406498654	0.0940375443527917	0.0349992479979108	0.00927403014528046	0.0175834473024675	0.0264499407382417	0.0141651613489184	0.305430407095836	0.190647035635633	0.0218853031080531	0.0647843370076218	0.0510638703098622	0.0636858072497472	0.0784254899076711	0	0.0707434180839398	0.0681204898970133	0.083703536391968	0.0213131497220838	0.265971375486705	0.0301949317729949	0.0356068142365845	0.0304384148796647	0.1885675793488	0.0319270713355152	0.0125923259163159	0.0434421631336787	0.0171099941396288	0.0216265438852008	0.145401402361302	0.0363856116208178	0.0284834734046642
